date,sale
1995 Jan,742
1995 Feb,697
1995 Mar,776
1995 Apr,898
1995 May,1030
1995 Jun,1107
1995 Jul,1165
1995 Aug,1216
1995 Sep,1208
1995 Oct,1131
1995 Nov,971
1995 Dec,783
1996 Jan,741
1996 Feb,700
1996 Mar,774
1996 Apr,932
1996 May,1099
1996 Jun,1223
1996 Jul,1290
1996 Aug,1349
1996 Sep,1341
1996 Oct,1296
1996 Nov,1066
1996 Dec,901
1997 Jan,896
1997 Feb,793
1997 Mar,885
1997 Apr,1055
1997 May,1204
1997 Jun,1326
1997 Jul,1303
1997 Aug,1436
1997 Sep,1473
1997 Oct,1453
1997 Nov,1170
1997 Dec,1023
1998 Jan,951
1998 Feb,861
1998 Mar,938
1998 Apr,1109
1998 May,1274
1998 Jun,1422
1998 Jul,1486
1998 Aug,1555
1998 Sep,1604
1998 Oct,1600
1998 Nov,1403
1998 Dec,1209
1999 Jan,1030
1999 Feb,1032
1999 Mar,1126
1999 Apr,1285
1999 May,1468
1999 Jun,1637
1999 Jul,1611
1999 Aug,1608
1999 Sep,1528
1999 Oct,1420
1999 Nov,1119
1999 Dec,1013
